idPet,petName,Gender,typeOfPet,bornPetDay
5444429805655382,"Lizard, giant girdled",Male,Cordylus giganteus,Female
374283736220914,"Wallaby, bennett's",Male,Macropus rufogriseus,Female
5100143477592311,African lion,Female,Panthera leo,Male
3589138611388159,"Francolin, coqui",Female,Francolinus coqui,Female
3584527082346651,"Antechinus, brown",Female,Antechinus flavipes,Male
3539882580122468,Carmine bee-eater,Female,Merops nubicus,Male
201808417826230,Currasow (unidentified),Male,Crax sp.,Female
30433902361358,"Deer, mule",Male,Odocoileus hemionus,Male
6761976237914715,"Moccasin, water",Male,Agkistrodon piscivorus,Male
6709461983876527085,"Heron, yellow-crowned night",Male,Nyctanassa violacea,Male
3588362720343845,Chital,Male,Axis axis,Female
3541627893368449,"Coatimundi, white-nosed",Male,Nasua narica,Female
4026425626673884,Violet-crested turaco,Male,Tauraco porphyrelophus,Male
3530898442263612,"Woodcock, american",Male,Scolopax minor,Male
5048376668143560,Oriental white-backed vulture,Male,Gyps bengalensis,Female
5602255425732501,"Lizard, frilled",Female,Chlamydosaurus kingii,Male
374288360774201,"Tamandua, southern",Female,Tamandua tetradactyla,Female
5328237436019121,Vervet monkey,Male,Cercopithecus aethiops,Male
5343123066815726,"Oryx, beisa",Female,Oryx gazella,Male
5602236338253264,"Phalarope, grey",Female,Phalaropus fulicarius,Female
3585205867164644,"Hyena, striped",Female,Hyaena hyaena,Female
201843394235212,Trumpeter swan,Female,Cygnus buccinator,Female
5590910669923828,Grey phalarope,Female,Phalaropus fulicarius,Female
3567119165299709,Lesser mouse lemur,Female,Microcebus murinus,Female
560221451111967528,"Bird, secretary",Female,Sagittarius serpentarius,Male
5199000116521071,"Constrictor, eastern boa",Female,Acrantophis madagascariensis,Male
30377277809915,"Tortoise, burmese brown mountain",Female,Manouria emys,Female
3583937783329669,"Fox, north american red",Female,Vulpes vulpes,Male
3588171896810291,Long-tailed spotted cat,Female,Felis wiedi or Leopardus weidi,Male
4917239223222777,Waved albatross,Female,Diomedea irrorata,Female
5641825745177216,Indian jackal,Male,Canis aureus,Male
4041375882065,Greater blue-eared starling,Male,Lamprotornis chalybaeus,Female
5161901550032927,Guerza,Male,Colobus guerza,Female
6373643925005988,"Stork, greater adjutant",Male,Leptoptilus dubius,Male
5048376317453782,"Cormorant, little",Female,Phalacrocorax niger,Female
6304605241527718,"Crake, african black",Female,Limnocorax flavirostra,Female
6396287668190590,Miner's cat,Female,Bassariscus astutus,Male
5251995917602316,Southern sea lion,Male,Otaria flavescens,Female
3549912221691841,"Cow, scottish highland",Male,Bos taurus,Male
337941480296424,"Parrot, hawk-headed",Male,Deroptyus accipitrinus,Male
675948043723956862,"Booby, masked",Male,Sula dactylatra,Female
201939860646112,Goliath heron,Female,Ardea golieth,Male
30460402950158,"Vulture, oriental white-backed",Female,Gyps bengalensis,Male
376536308382885,"Elk, Wapiti",Female,Cervus canadensis,Female
3552070365169381,"Dove, galapagos",Male,Zenaida galapagoensis,Male
5020512425285581,"Hawk, galapagos",Female,Buteo galapagoensis,Female
3538008216101939,"Elephant, african",Male,Loxodonta africana,Male
3581615665971319,Southern lapwing,Male,Vanellus chilensis,Female
3542977489531218,Margay,Female,Felis wiedi or Leopardus weidi,Female
